player,runs,mins,balls,fours,sixes,sr,batting,opposition,ground,date
SPD Smith (AUSTRALIA),8,21,11,2,0,72.72,1,v South Africa,Centurion,30/09/16
GJ Bailey (AUSTRALIA),74,146,90,7,2,82.22,1,v South Africa,Centurion,30/09/16
MR Marsh (AUSTRALIA),31,28,25,5,1,124,1,v South Africa,Centurion,30/09/16
TM Head (AUSTRALIA),18,25,18,2,0,100,1,v South Africa,Centurion,30/09/16
MS Wade (AUSTRALIA),5,14,10,1,0,50,1,v South Africa,Centurion,30/09/16
AJ Finch (AUSTRALIA),1,5,5,0,0,20,2,v South Africa,Johannesburg,02/10/16
DA Warner (AUSTRALIA),50,93,56,7,1,89.28,2,v South Africa,Johannesburg,02/10/16
SPD Smith (AUSTRALIA),14,21,12,2,0,116.66,2,v South Africa,Johannesburg,02/10/16
GJ Bailey (AUSTRALIA),9,23,18,2,0,50,2,v South Africa,Johannesburg,02/10/16
MR Marsh (AUSTRALIA),19,24,19,4,0,100,2,v South Africa,Johannesburg,02/10/16
TM Head (AUSTRALIA),51,59,45,5,2,113.33,2,v South Africa,Johannesburg,02/10/16
MS Wade (AUSTRALIA),33,46,33,5,0,100,2,v South Africa,Johannesburg,02/10/16
DA Warner (AUSTRALIA),117,139,107,13,2,109.34,1,v South Africa,Durban,05/10/16
AJ Finch (AUSTRALIA),53,55,34,3,4,155.88,1,v South Africa,Durban,05/10/16
SPD Smith (AUSTRALIA),108,136,107,9,1,100.93,1,v South Africa,Durban,05/10/16
GJ Bailey (AUSTRALIA),28,27,18,1,1,155.55,1,v South Africa,Durban,05/10/16
MR Marsh (AUSTRALIA),2,13,8,0,0,25,1,v South Africa,Durban,05/10/16
TM Head (AUSTRALIA),35,27,18,4,1,194.44,1,v South Africa,Durban,05/10/16
MS Wade (AUSTRALIA),17*,16,8,1,1,212.5,1,v South Africa,Durban,05/10/16
AJ Finch (AUSTRALIA),2,1,3,0,0,66.66,1,v South Africa,Port Elizabeth,09/10/16
DA Warner (AUSTRALIA),6,10,5,1,0,120,1,v South Africa,Port Elizabeth,09/10/16
SPD Smith (AUSTRALIA),21,61,36,2,0,58.33,1,v South Africa,Port Elizabeth,09/10/16
GJ Bailey (AUSTRALIA),1,4,6,0,0,16.66,1,v South Africa,Port Elizabeth,09/10/16
MR Marsh (AUSTRALIA),50,101,72,5,1,69.44,1,v South Africa,Port Elizabeth,09/10/16
TM Head (AUSTRALIA),0,2,2,0,0,0,1,v South Africa,Port Elizabeth,09/10/16
MS Wade (AUSTRALIA),52,96,58,5,2,89.65,1,v South Africa,Port Elizabeth,09/10/16
DA Warner (AUSTRALIA),173,218,136,24,0,127.2,2,v South Africa,Cape Town,12/10/16
AJ Finch (AUSTRALIA),19,57,40,3,0,47.5,2,v South Africa,Cape Town,12/10/16
SPD Smith (AUSTRALIA),0,2,2,0,0,0,2,v South Africa,Cape Town,12/10/16
GJ Bailey (AUSTRALIA),2,11,8,0,0,25,2,v South Africa,Cape Town,12/10/16
MR Marsh (AUSTRALIA),35,43,38,2,2,92.1,2,v South Africa,Cape Town,12/10/16
TM Head (AUSTRALIA),35,62,43,4,0,81.39,2,v South Africa,Cape Town,12/10/16
MS Wade (AUSTRALIA),7,13,7,0,0,100,2,v South Africa,Cape Town,12/10/16
RG Sharma (INDIA),14,44,26,1,1,53.84,2,v New Zealand,Dharamsala,16/10/16
AM Rahane (INDIA),33,59,34,4,2,97.05,2,v New Zealand,Dharamsala,16/10/16
V Kohli (INDIA),85*,109,81,9,1,104.93,2,v New Zealand,Dharamsala,16/10/16
MK Pandey (INDIA),17,34,22,1,0,77.27,2,v New Zealand,Dharamsala,16/10/16
MS Dhoni (INDIA),21,41,24,1,1,87.5,2,v New Zealand,Dharamsala,16/10/16
KM Jadhav (INDIA),10*,17,12,2,0,83.33,2,v New Zealand,Dharamsala,16/10/16
HH Pandya (INDIA),DNB,-0,-0,-0,-0,-0,2,v New Zealand,Dharamsala,16/10/16
RG Sharma (INDIA),15,28,27,1,1,55.55,2,v New Zealand,Delhi,20/10/16
AM Rahane (INDIA),28,75,49,3,0,57.14,2,v New Zealand,Delhi,20/10/16
V Kohli (INDIA),9,18,13,1,0,69.23,2,v New Zealand,Delhi,20/10/16
MK Pandey (INDIA),19,34,25,0,1,76,2,v New Zealand,Delhi,20/10/16
MS Dhoni (INDIA),39,95,65,3,0,60,2,v New Zealand,Delhi,20/10/16
KM Jadhav (INDIA),41,47,37,2,2,110.81,2,v New Zealand,Delhi,20/10/16
AR Patel (INDIA),17,47,22,0,1,77.27,2,v New Zealand,Delhi,20/10/16
RG Sharma (INDIA),13,35,21,2,0,61.9,2,v New Zealand,Mohali,23/10/16
AM Rahane (INDIA),5,11,10,1,0,50,2,v New Zealand,Mohali,23/10/16
V Kohli (INDIA),154*,202,134,16,1,114.92,2,v New Zealand,Mohali,23/10/16
MS Dhoni (INDIA),80,122,91,6,3,87.91,2,v New Zealand,Mohali,23/10/16
MK Pandey (INDIA),28*,55,34,3,0,82.35,2,v New Zealand,Mohali,23/10/16
AR Patel (INDIA),DNB,-0,-0,-0,-0,-0,2,v New Zealand,Mohali,23/10/16
KM Jadhav (INDIA),DNB,-0,-0,-0,-0,-0,2,v New Zealand,Mohali,23/10/16
AM Rahane (INDIA),57,108,70,5,1,81.42,2,v New Zealand,Ranchi,26/10/16
RG Sharma (INDIA),11,15,19,2,0,57.89,2,v New Zealand,Ranchi,26/10/16
V Kohli (INDIA),45,64,51,2,1,88.23,2,v New Zealand,Ranchi,26/10/16
MS Dhoni (INDIA),11,36,31,0,0,35.48,2,v New Zealand,Ranchi,26/10/16
AR Patel (INDIA),38,77,40,3,1,95,2,v New Zealand,Ranchi,26/10/16
MK Pandey (INDIA),12,13,12,2,0,100,2,v New Zealand,Ranchi,26/10/16
KM Jadhav (INDIA),0,2,1,0,0,0,2,v New Zealand,Ranchi,26/10/16
AM Rahane (INDIA),20,45,39,3,0,51.28,1,v New Zealand,Visakhapatnam,29/10/16
RG Sharma (INDIA),70,107,65,5,3,107.69,1,v New Zealand,Visakhapatnam,29/10/16
V Kohli (INDIA),65,152,76,2,1,85.52,1,v New Zealand,Visakhapatnam,29/10/16
MS Dhoni (INDIA),41,64,59,4,1,69.49,1,v New Zealand,Visakhapatnam,29/10/16
MK Pandey (INDIA),0,4,5,0,0,0,1,v New Zealand,Visakhapatnam,29/10/16
KM Jadhav (INDIA),39*,52,37,2,1,105.4,1,v New Zealand,Visakhapatnam,29/10/16
AR Patel (INDIA),24,28,18,1,1,133.33,1,v New Zealand,Visakhapatnam,29/10/16
DA Warner (AUSTRALIA),24,43,29,4,0,82.75,1,v New Zealand,Sydney,04/12/16
AJ Finch (AUSTRALIA),0,2,1,0,0,0,1,v New Zealand,Sydney,04/12/16
SPD Smith (AUSTRALIA),164,206,157,14,4,104.45,1,v New Zealand,Sydney,04/12/16
GJ Bailey (AUSTRALIA),17,35,25,0,1,68,1,v New Zealand,Sydney,04/12/16
MR Marsh (AUSTRALIA),1,6,3,0,0,33.33,1,v New Zealand,Sydney,04/12/16
TM Head (AUSTRALIA),52,88,60,5,0,86.66,1,v New Zealand,Sydney,04/12/16
MS Wade (AUSTRALIA),38,42,22,1,3,172.72,1,v New Zealand,Sydney,04/12/16
DA Warner (AUSTRALIA),119,149,115,14,1,103.47,1,v New Zealand,Canberra,06/12/16
AJ Finch (AUSTRALIA),19,53,34,2,0,55.88,1,v New Zealand,Canberra,06/12/16
SPD Smith (AUSTRALIA),72,112,76,6,1,94.73,1,v New Zealand,Canberra,06/12/16
TM Head (AUSTRALIA),57,56,32,6,2,178.12,1,v New Zealand,Canberra,06/12/16
MR Marsh (AUSTRALIA),76*,59,40,2,7,190,1,v New Zealand,Canberra,06/12/16
MS Wade (AUSTRALIA),11,13,5,1,1,220,1,v New Zealand,Canberra,06/12/16
GJ Bailey (AUSTRALIA),0*,6,1,0,0,0,1,v New Zealand,Canberra,06/12/16
DA Warner (AUSTRALIA),156,214,128,13,4,121.87,1,v New Zealand,Melbourne,09/12/16
AJ Finch (AUSTRALIA),3,8,8,0,0,37.5,1,v New Zealand,Melbourne,09/12/16
SPD Smith (AUSTRALIA),0,10,7,0,0,0,1,v New Zealand,Melbourne,09/12/16
GJ Bailey (AUSTRALIA),23,61,51,1,0,45.09,1,v New Zealand,Melbourne,09/12/16
MR Marsh (AUSTRALIA),0,3,2,0,0,0,1,v New Zealand,Melbourne,09/12/16
TM Head (AUSTRALIA),37,82,70,2,0,52.85,1,v New Zealand,Melbourne,09/12/16
MS Wade (AUSTRALIA),14,27,23,0,0,60.86,1,v New Zealand,Melbourne,09/12/16
DA Warner (AUSTRALIA),7,19,18,1,0,38.88,1,v Pakistan,Brisbane,13/01/17
TM Head (AUSTRALIA),39,61,39,5,0,100,1,v Pakistan,Brisbane,13/01/17
SPD Smith (AUSTRALIA),0,1,1,0,0,0,1,v Pakistan,Brisbane,13/01/17
CA Lynn (AUSTRALIA),16,24,12,0,1,133.33,1,v Pakistan,Brisbane,13/01/17
MR Marsh (AUSTRALIA),4,30,17,0,0,23.52,1,v Pakistan,Brisbane,13/01/17
GJ Maxwell (AUSTRALIA),60,77,56,7,0,107.14,1,v Pakistan,Brisbane,13/01/17
MS Wade (AUSTRALIA),100*,150,100,7,2,100,1,v Pakistan,Brisbane,13/01/17
UT Khawaja (AUSTRALIA),17,39,21,1,0,80.95,1,v Pakistan,Melbourne,15/01/17
DA Warner (AUSTRALIA),16,27,22,1,0,72.72,1,v Pakistan,Melbourne,15/01/17
SPD Smith (AUSTRALIA),60,155,101,2,0,59.4,1,v Pakistan,Melbourne,15/01/17
MR Marsh (AUSTRALIA),0,4,1,0,0,0,1,v Pakistan,Melbourne,15/01/17
TM Head (AUSTRALIA),29,36,31,5,0,93.54,1,v Pakistan,Melbourne,15/01/17
GJ Maxwell (AUSTRALIA),23,34,26,2,1,88.46,1,v Pakistan,Melbourne,15/01/17
MS Wade (AUSTRALIA),35,72,56,3,0,62.5,1,v Pakistan,Melbourne,15/01/17
KL Rahul (INDIA),8,28,18,1,0,44.44,2,v England,Pune,15/01/17
S Dhawan (INDIA),1,18,10,0,0,10,2,v England,Pune,15/01/17
V Kohli (INDIA),122,147,105,8,5,116.19,2,v England,Pune,15/01/17
Yuvraj Singh (INDIA),15,21,12,2,1,125,2,v England,Pune,15/01/17
MS Dhoni (INDIA),6,7,6,1,0,100,2,v England,Pune,15/01/17
KM Jadhav (INDIA),120,125,76,12,4,157.89,2,v England,Pune,15/01/17
HH Pandya (INDIA),40*,60,37,3,1,108.1,2,v England,Pune,15/01/17
DA Warner (AUSTRALIA),35,36,38,5,0,92.1,2,v Pakistan,Perth,19/01/17
UT Khawaja (AUSTRALIA),9,41,20,2,0,45,2,v Pakistan,Perth,19/01/17
SPD Smith (AUSTRALIA),108*,157,104,11,1,103.84,2,v Pakistan,Perth,19/01/17
PSP Handscomb (AUSTRALIA),82,127,84,6,0,97.61,2,v Pakistan,Perth,19/01/17
TM Head (AUSTRALIA),23*,23,25,4,0,92,2,v Pakistan,Perth,19/01/17
GJ Maxwell (AUSTRALIA),DNB,-0,-0,-0,-0,-0,2,v Pakistan,Perth,19/01/17
MS Wade (AUSTRALIA),DNB,-0,-0,-0,-0,-0,2,v Pakistan,Perth,19/01/17
KL Rahul (INDIA),5,11,5,1,0,100,1,v England,Cuttack,19/01/17
S Dhawan (INDIA),11,24,15,2,0,73.33,1,v England,Cuttack,19/01/17
V Kohli (INDIA),8,6,5,2,0,160,1,v England,Cuttack,19/01/17
Yuvraj Singh (INDIA),150,183,127,21,3,118.11,1,v England,Cuttack,19/01/17
MS Dhoni (INDIA),134,203,122,10,6,109.83,1,v England,Cuttack,19/01/17
KM Jadhav (INDIA),22,15,10,3,1,220,1,v England,Cuttack,19/01/17
HH Pandya (INDIA),19*,23,9,2,1,211.11,1,v England,Cuttack,19/01/17
UT Khawaja (AUSTRALIA),30,76,49,2,0,61.22,1,v Pakistan,Sydney,22/01/17
DA Warner (AUSTRALIA),130,156,119,11,2,109.24,1,v Pakistan,Sydney,22/01/17
SPD Smith (AUSTRALIA),49,83,48,5,0,102.08,1,v Pakistan,Sydney,22/01/17
TM Head (AUSTRALIA),51,55,36,2,4,141.66,1,v Pakistan,Sydney,22/01/17
GJ Maxwell (AUSTRALIA),78,70,44,10,1,177.27,1,v Pakistan,Sydney,22/01/17
MS Wade (AUSTRALIA),5,13,6,0,0,83.33,1,v Pakistan,Sydney,22/01/17
MA Starc (AUSTRALIA),0*,4,0,0,0,-0,1,v Pakistan,Sydney,22/01/17
AM Rahane (INDIA),1,8,6,0,0,16.66,2,v England,Kolkata,22/01/17
KL Rahul (INDIA),11,28,11,1,1,100,2,v England,Kolkata,22/01/17
V Kohli (INDIA),55,81,63,8,0,87.3,2,v England,Kolkata,22/01/17
Yuvraj Singh (INDIA),45,82,57,5,1,78.94,2,v England,Kolkata,22/01/17
MS Dhoni (INDIA),25,45,36,1,1,69.44,2,v England,Kolkata,22/01/17
KM Jadhav (INDIA),90,118,75,12,1,120,2,v England,Kolkata,22/01/17
HH Pandya (INDIA),56,67,43,4,2,130.23,2,v England,Kolkata,22/01/17
DA Warner (AUSTRALIA),179,186,128,19,5,139.84,1,v Pakistan,Adelaide,26/01/17
TM Head (AUSTRALIA),128,219,137,9,3,93.43,1,v Pakistan,Adelaide,26/01/17
SPD Smith (AUSTRALIA),4,3,2,1,0,200,1,v Pakistan,Adelaide,26/01/17
GJ Maxwell (AUSTRALIA),13,16,7,1,1,185.71,1,v Pakistan,Adelaide,26/01/17
MS Wade (AUSTRALIA),8,8,6,1,0,133.33,1,v Pakistan,Adelaide,26/01/17
PSP Handscomb (AUSTRALIA),1,10,2,0,0,50,1,v Pakistan,Adelaide,26/01/17
JP Faulkner (AUSTRALIA),18*,19,12,2,0,150,1,v Pakistan,Adelaide,26/01/17
AJ Finch (AUSTRALIA),4,12,7,0,0,57.14,2,v New Zealand,Auckland,30/01/17
TM Head (AUSTRALIA),5,16,15,1,0,33.33,2,v New Zealand,Auckland,30/01/17
SE Marsh (AUSTRALIA),16,37,21,3,0,76.19,2,v New Zealand,Auckland,30/01/17
PSP Handscomb (AUSTRALIA),7,11,7,1,0,100,2,v New Zealand,Auckland,30/01/17
GJ Maxwell (AUSTRALIA),20,27,24,3,0,83.33,2,v New Zealand,Auckland,30/01/17
SD Heazlett (AUSTRALIA),4,27,11,0,0,36.36,2,v New Zealand,Auckland,30/01/17
MP Stoinis (AUSTRALIA),146*,161,117,9,11,124.78,2,v New Zealand,Auckland,30/01/17
AJ Finch (AUSTRALIA),56,86,64,5,2,87.5,2,v New Zealand,Hamilton,05/02/17
SE Marsh (AUSTRALIA),22,29,22,4,0,100,2,v New Zealand,Hamilton,05/02/17
PSP Handscomb (AUSTRALIA),0,2,2,0,0,0,2,v New Zealand,Hamilton,05/02/17
TM Head (AUSTRALIA),53,97,72,5,0,73.61,2,v New Zealand,Hamilton,05/02/17
GJ Maxwell (AUSTRALIA),0,3,3,0,0,0,2,v New Zealand,Hamilton,05/02/17
MP Stoinis (AUSTRALIA),42,77,48,4,1,87.5,2,v New Zealand,Hamilton,05/02/17
JP Faulkner (AUSTRALIA),0,3,3,0,0,0,2,v New Zealand,Hamilton,05/02/17
DA Warner (AUSTRALIA),18,21,16,1,1,112.5,2,v New Zealand,Birmingham,02/06/17
AJ Finch (AUSTRALIA),8,29,18,0,0,44.44,2,v New Zealand,Birmingham,02/06/17
SPD Smith (AUSTRALIA),8*,18,6,2,0,133.33,2,v New Zealand,Birmingham,02/06/17
MC Henriques (AUSTRALIA),18,12,14,4,0,128.57,2,v New Zealand,Birmingham,02/06/17
GJ Maxwell (AUSTRALIA),DNB,-0,-0,-0,-0,-0,2,v New Zealand,Birmingham,02/06/17
MS Wade (AUSTRALIA),DNB,-0,-0,-0,-0,-0,2,v New Zealand,Birmingham,02/06/17
TM Head (AUSTRALIA),DNB,-0,-0,-0,-0,-0,2,v New Zealand,Birmingham,02/06/17
RG Sharma (INDIA),91,146,119,7,2,76.47,1,v Pakistan,Birmingham,04/06/17
S Dhawan (INDIA),68,95,65,6,1,104.61,1,v Pakistan,Birmingham,04/06/17
V Kohli (INDIA),81*,108,68,6,3,119.11,1,v Pakistan,Birmingham,04/06/17
Yuvraj Singh (INDIA),53,49,32,8,1,165.62,1,v Pakistan,Birmingham,04/06/17
HH Pandya (INDIA),20*,8,6,0,3,333.33,1,v Pakistan,Birmingham,04/06/17
KM Jadhav (INDIA),DNB,-0,-0,-0,-0,-0,1,v Pakistan,Birmingham,04/06/17
MS Dhoni (INDIA),DNB,-0,-0,-0,-0,-0,1,v Pakistan,Birmingham,04/06/17
DA Warner (AUSTRALIA),40*,75,44,2,0,90.9,2,v Bangladesh,The Oval,05/06/17
AJ Finch (AUSTRALIA),19,36,27,3,0,70.37,2,v Bangladesh,The Oval,05/06/17
SPD Smith (AUSTRALIA),22*,37,25,1,0,88,2,v Bangladesh,The Oval,05/06/17
TM Head (AUSTRALIA),DNB,-0,-0,-0,-0,-0,2,v Bangladesh,The Oval,05/06/17
MC Henriques (AUSTRALIA),DNB,-0,-0,-0,-0,-0,2,v Bangladesh,The Oval,05/06/17
GJ Maxwell (AUSTRALIA),DNB,-0,-0,-0,-0,-0,2,v Bangladesh,The Oval,05/06/17
MS Wade (AUSTRALIA),DNB,-0,-0,-0,-0,-0,2,v Bangladesh,The Oval,05/06/17
RG Sharma (INDIA),78,107,79,6,3,98.73,1,v Sri Lanka,The Oval,08/06/17
S Dhawan (INDIA),125,198,128,15,1,97.65,1,v Sri Lanka,The Oval,08/06/17
V Kohli (INDIA),0,5,5,0,0,0,1,v Sri Lanka,The Oval,08/06/17
Yuvraj Singh (INDIA),7,33,18,0,0,38.88,1,v Sri Lanka,The Oval,08/06/17
MS Dhoni (INDIA),63,78,52,7,2,121.15,1,v Sri Lanka,The Oval,08/06/17
HH Pandya (INDIA),9,8,5,0,1,180,1,v Sri Lanka,The Oval,08/06/17
KM Jadhav (INDIA),25*,19,13,3,1,192.3,1,v Sri Lanka,The Oval,08/06/17
DA Warner (AUSTRALIA),21,29,25,4,0,84,1,v England,Birmingham,10/06/17
AJ Finch (AUSTRALIA),68,98,64,8,0,106.25,1,v England,Birmingham,10/06/17
SPD Smith (AUSTRALIA),56,104,77,5,0,72.72,1,v England,Birmingham,10/06/17
MC Henriques (AUSTRALIA),17,17,19,3,0,89.47,1,v England,Birmingham,10/06/17
TM Head (AUSTRALIA),71*,95,64,5,2,110.93,1,v England,Birmingham,10/06/17
GJ Maxwell (AUSTRALIA),20,44,31,2,0,64.51,1,v England,Birmingham,10/06/17
MS Wade (AUSTRALIA),2,5,3,0,0,66.66,1,v England,Birmingham,10/06/17
RG Sharma (INDIA),12,23,20,1,1,60,2,v South Africa,The Oval,11/06/17
S Dhawan (INDIA),78,130,83,12,1,93.97,2,v South Africa,The Oval,11/06/17
V Kohli (INDIA),76*,136,101,7,1,75.24,2,v South Africa,The Oval,11/06/17
Yuvraj Singh (INDIA),23*,29,25,1,1,92,2,v South Africa,The Oval,11/06/17
KM Jadhav (INDIA),DNB,-0,-0,-0,-0,-0,2,v South Africa,The Oval,11/06/17
HH Pandya (INDIA),DNB,-0,-0,-0,-0,-0,2,v South Africa,The Oval,11/06/17
MS Dhoni (INDIA),DNB,-0,-0,-0,-0,-0,2,v South Africa,The Oval,11/06/17
RG Sharma (INDIA),123*,165,129,15,1,95.34,2,v Bangladesh,Birmingham,15/06/17
S Dhawan (INDIA),46,67,34,7,1,135.29,2,v Bangladesh,Birmingham,15/06/17
V Kohli (INDIA),96*,96,78,13,0,123.07,2,v Bangladesh,Birmingham,15/06/17
HH Pandya (INDIA),DNB,-0,-0,-0,-0,-0,2,v Bangladesh,Birmingham,15/06/17
Yuvraj Singh (INDIA),DNB,-0,-0,-0,-0,-0,2,v Bangladesh,Birmingham,15/06/17
KM Jadhav (INDIA),DNB,-0,-0,-0,-0,-0,2,v Bangladesh,Birmingham,15/06/17
MS Dhoni (INDIA),DNB,-0,-0,-0,-0,-0,2,v Bangladesh,Birmingham,15/06/17
RG Sharma (INDIA),0,4,3,0,0,0,2,v Pakistan,The Oval,18/06/17
S Dhawan (INDIA),21,42,22,4,0,95.45,2,v Pakistan,The Oval,18/06/17
V Kohli (INDIA),5,11,9,0,0,55.55,2,v Pakistan,The Oval,18/06/17
Yuvraj Singh (INDIA),22,49,31,4,0,70.96,2,v Pakistan,The Oval,18/06/17
MS Dhoni (INDIA),4,23,16,0,0,25,2,v Pakistan,The Oval,18/06/17
KM Jadhav (INDIA),9,18,13,2,0,69.23,2,v Pakistan,The Oval,18/06/17
HH Pandya (INDIA),76,46,43,4,6,176.74,2,v Pakistan,The Oval,18/06/17
AM Rahane (INDIA),62,-0,78,8,0,79.48,1,v West Indies,Port of Spain,23/06/17
S Dhawan (INDIA),87,-0,92,8,2,94.56,1,v West Indies,Port of Spain,23/06/17
V Kohli (INDIA),32*,-0,47,1,0,68.08,1,v West Indies,Port of Spain,23/06/17
Yuvraj Singh (INDIA),4,-0,10,0,0,40,1,v West Indies,Port of Spain,23/06/17
MS Dhoni (INDIA),9*,-0,9,1,0,100,1,v West Indies,Port of Spain,23/06/17
KM Jadhav (INDIA),DNB,-0,-0,-0,-0,-0,1,v West Indies,Port of Spain,23/06/17
HH Pandya (INDIA),DNB,-0,-0,-0,-0,-0,1,v West Indies,Port of Spain,23/06/17
AM Rahane (INDIA),103,-0,104,10,2,99.03,1,v West Indies,Port of Spain,25/06/17
S Dhawan (INDIA),63,-0,59,10,0,106.77,1,v West Indies,Port of Spain,25/06/17
V Kohli (INDIA),87,-0,66,4,4,131.81,1,v West Indies,Port of Spain,25/06/17
HH Pandya (INDIA),4,-0,5,0,0,80,1,v West Indies,Port of Spain,25/06/17
Yuvraj Singh (INDIA),14,-0,10,1,0,140,1,v West Indies,Port of Spain,25/06/17
MS Dhoni (INDIA),13*,-0,13,1,0,100,1,v West Indies,Port of Spain,25/06/17
KM Jadhav (INDIA),13*,-0,6,2,0,216.66,1,v West Indies,Port of Spain,25/06/17
AM Rahane (INDIA),72,-0,112,4,1,64.28,1,v West Indies,North Sound,30/06/17
S Dhawan (INDIA),2,-0,6,0,0,33.33,1,v West Indies,North Sound,30/06/17
V Kohli (INDIA),11,-0,22,2,0,50,1,v West Indies,North Sound,30/06/17
Yuvraj Singh (INDIA),39,-0,55,4,0,70.9,1,v West Indies,North Sound,30/06/17
MS Dhoni (INDIA),78*,-0,79,4,2,98.73,1,v West Indies,North Sound,30/06/17
KM Jadhav (INDIA),40*,-0,26,4,1,153.84,1,v West Indies,North Sound,30/06/17
HH Pandya (INDIA),DNB,-0,-0,-0,-0,-0,1,v West Indies,North Sound,30/06/17
AM Rahane (INDIA),60,-0,91,7,0,65.93,2,v West Indies,North Sound,02/07/17
S Dhawan (INDIA),5,-0,7,0,0,71.42,2,v West Indies,North Sound,02/07/17
V Kohli (INDIA),3,-0,12,0,0,25,2,v West Indies,North Sound,02/07/17
KD Karthik (INDIA),2,-0,19,0,0,10.52,2,v West Indies,North Sound,02/07/17
MS Dhoni (INDIA),54,-0,114,1,0,47.36,2,v West Indies,North Sound,02/07/17
KM Jadhav (INDIA),10,-0,14,0,0,71.42,2,v West Indies,North Sound,02/07/17
HH Pandya (INDIA),20,-0,21,1,1,95.23,2,v West Indies,North Sound,02/07/17
AM Rahane (INDIA),39,-0,51,5,0,76.47,2,v West Indies,Kingston,06/07/17
S Dhawan (INDIA),4,-0,3,1,0,133.33,2,v West Indies,Kingston,06/07/17
V Kohli (INDIA),111*,-0,115,12,2,96.52,2,v West Indies,Kingston,06/07/17
KD Karthik (INDIA),50*,-0,52,5,0,96.15,2,v West Indies,Kingston,06/07/17
KM Jadhav (INDIA),DNB,-0,-0,-0,-0,-0,2,v West Indies,Kingston,06/07/17
MS Dhoni (INDIA),DNB,-0,-0,-0,-0,-0,2,v West Indies,Kingston,06/07/17
HH Pandya (INDIA),DNB,-0,-0,-0,-0,-0,2,v West Indies,Kingston,06/07/17
RG Sharma (INDIA),4,-0,13,0,0,30.76,2,v Sri Lanka,Dambulla,20/08/17
S Dhawan (INDIA),132*,-0,90,20,3,146.66,2,v Sri Lanka,Dambulla,20/08/17
V Kohli (INDIA),82*,-0,70,10,1,117.14,2,v Sri Lanka,Dambulla,20/08/17
KL Rahul (INDIA),DNB,-0,-0,-0,-0,-0,2,v Sri Lanka,Dambulla,20/08/17
MS Dhoni (INDIA),DNB,-0,-0,-0,-0,-0,2,v Sri Lanka,Dambulla,20/08/17
HH Pandya (INDIA),DNB,-0,-0,-0,-0,-0,2,v Sri Lanka,Dambulla,20/08/17
KM Jadhav (INDIA),DNB,-0,-0,-0,-0,-0,2,v Sri Lanka,Dambulla,20/08/17
RG Sharma (INDIA),54,-0,45,5,3,120,2,v Sri Lanka,Pallekele,24/08/17
S Dhawan (INDIA),49,-0,50,6,1,98,2,v Sri Lanka,Pallekele,24/08/17
KL Rahul (INDIA),4,-0,6,0,0,66.66,2,v Sri Lanka,Pallekele,24/08/17
KM Jadhav (INDIA),1,-0,3,0,0,33.33,2,v Sri Lanka,Pallekele,24/08/17
V Kohli (INDIA),4,-0,2,1,0,200,2,v Sri Lanka,Pallekele,24/08/17
MS Dhoni (INDIA),45*,-0,68,1,0,66.17,2,v Sri Lanka,Pallekele,24/08/17
HH Pandya (INDIA),0,-0,3,0,0,0,2,v Sri Lanka,Pallekele,24/08/17
RG Sharma (INDIA),124*,-0,145,16,2,85.51,2,v Sri Lanka,Pallekele,27/08/17
S Dhawan (INDIA),5,-0,3,1,0,166.66,2,v Sri Lanka,Pallekele,27/08/17
V Kohli (INDIA),3,-0,11,0,0,27.27,2,v Sri Lanka,Pallekele,27/08/17
KL Rahul (INDIA),17,-0,24,2,0,70.83,2,v Sri Lanka,Pallekele,27/08/17
KM Jadhav (INDIA),0,-0,2,0,0,0,2,v Sri Lanka,Pallekele,27/08/17
MS Dhoni (INDIA),67*,-0,86,4,1,77.9,2,v Sri Lanka,Pallekele,27/08/17
HH Pandya (INDIA),DNB,-0,-0,-0,-0,-0,2,v Sri Lanka,Pallekele,27/08/17
RG Sharma (INDIA),104,-0,88,11,3,118.18,1,v Sri Lanka,Colombo (RPS),31/08/17
S Dhawan (INDIA),4,-0,6,1,0,66.66,1,v Sri Lanka,Colombo (RPS),31/08/17
V Kohli (INDIA),131,-0,96,17,2,136.45,1,v Sri Lanka,Colombo (RPS),31/08/17
HH Pandya (INDIA),19,-0,18,1,1,105.55,1,v Sri Lanka,Colombo (RPS),31/08/17
KL Rahul (INDIA),7,-0,8,0,0,87.5,1,v Sri Lanka,Colombo (RPS),31/08/17
MK Pandey (INDIA),50*,-0,42,4,0,119.04,1,v Sri Lanka,Colombo (RPS),31/08/17
MS Dhoni (INDIA),49*,-0,42,5,1,116.66,1,v Sri Lanka,Colombo (RPS),31/08/17
RG Sharma (INDIA),16,-0,20,1,0,80,2,v Sri Lanka,Colombo (RPS),03/09/17
AM Rahane (INDIA),5,-0,17,0,0,29.41,2,v Sri Lanka,Colombo (RPS),03/09/17
V Kohli (INDIA),110*,-0,116,9,0,94.82,2,v Sri Lanka,Colombo (RPS),03/09/17
MK Pandey (INDIA),36,-0,53,2,0,67.92,2,v Sri Lanka,Colombo (RPS),03/09/17
KM Jadhav (INDIA),63,-0,73,7,0,86.3,2,v Sri Lanka,Colombo (RPS),03/09/17
MS Dhoni (INDIA),1*,-0,1,0,0,100,2,v Sri Lanka,Colombo (RPS),03/09/17
JJ Bumrah (INDIA),DNB,-0,-0,-0,-0,-0,2,v Sri Lanka,Colombo (RPS),03/09/17
