player,runs,mins,balls,fours,sixes,sr,batting,opposition,ground,date
SPD Smith (AUSTRALIA),10,31,20,2,0,50,1,v South Africa,Perth,16/11/14
GJ Bailey (AUSTRALIA),25,57,45,2,0,55.55,1,v South Africa,Perth,16/11/14
MR Marsh (AUSTRALIA),67,121,88,3,2,76.13,1,v South Africa,Perth,16/11/14
MS Wade (AUSTRALIA),19,41,29,2,0,65.51,1,v South Africa,Perth,16/11/14
AM Rahane (INDIA),2,10,10,0,0,20,2,v Sri Lanka,Ranchi,16/11/14
RG Sharma (INDIA),9,18,12,2,0,75,2,v Sri Lanka,Ranchi,16/11/14
AT Rayudu (INDIA),59,98,69,8,1,85.5,2,v Sri Lanka,Ranchi,16/11/14
V Kohli (INDIA),139*,192,126,12,3,110.31,2,v Sri Lanka,Ranchi,16/11/14
RV Uthappa (INDIA),19,21,21,2,0,90.47,2,v Sri Lanka,Ranchi,16/11/14
KM Jadhav (INDIA),20,28,24,3,0,83.33,2,v Sri Lanka,Ranchi,16/11/14
STR Binny (INDIA),12,15,15,2,0,80,2,v Sri Lanka,Ranchi,16/11/14
AJ Finch (AUSTRALIA),109,167,127,9,3,85.82,1,v South Africa,Canberra,19/11/14
DA Warner (AUSTRALIA),53,88,50,6,2,106,1,v South Africa,Canberra,19/11/14
SR Watson (AUSTRALIA),40,44,38,4,1,105.26,1,v South Africa,Canberra,19/11/14
SPD Smith (AUSTRALIA),73*,77,55,8,0,132.72,1,v South Africa,Canberra,19/11/14
GJ Bailey (AUSTRALIA),12,17,15,0,0,80,1,v South Africa,Canberra,19/11/14
MR Marsh (AUSTRALIA),22,13,13,2,0,169.23,1,v South Africa,Canberra,19/11/14
MS Wade (AUSTRALIA),8*,12,6,0,0,133.33,1,v South Africa,Canberra,19/11/14
AJ Finch (AUSTRALIA),22,59,37,2,0,59.45,2,v South Africa,Melbourne,21/11/14
DA Warner (AUSTRALIA),4,14,8,0,0,50,2,v South Africa,Melbourne,21/11/14
SR Watson (AUSTRALIA),19,31,25,2,0,76,2,v South Africa,Melbourne,21/11/14
SPD Smith (AUSTRALIA),104,180,112,7,0,92.85,2,v South Africa,Melbourne,21/11/14
GJ Bailey (AUSTRALIA),16,35,29,0,0,55.17,2,v South Africa,Melbourne,21/11/14
GJ Maxwell (AUSTRALIA),2,9,5,0,0,40,2,v South Africa,Melbourne,21/11/14
MS Wade (AUSTRALIA),52,96,59,4,1,88.13,2,v South Africa,Melbourne,21/11/14
DA Warner (AUSTRALIA),21,18,16,3,1,131.25,2,v South Africa,Sydney,23/11/14
AJ Finch (AUSTRALIA),76,85,67,11,0,113.43,2,v South Africa,Sydney,23/11/14
SR Watson (AUSTRALIA),82,138,93,7,2,88.17,2,v South Africa,Sydney,23/11/14
SPD Smith (AUSTRALIA),67,103,74,6,1,90.54,2,v South Africa,Sydney,23/11/14
GJ Maxwell (AUSTRALIA),7,16,10,0,0,70,2,v South Africa,Sydney,23/11/14
GJ Bailey (AUSTRALIA),4,17,7,0,0,57.14,2,v South Africa,Sydney,23/11/14
MS Wade (AUSTRALIA),3,9,6,0,0,50,2,v South Africa,Sydney,23/11/14
DA Warner (AUSTRALIA),127,169,115,18,0,110.43,2,v England,Sydney,16/01/15
AJ Finch (AUSTRALIA),15,24,18,3,0,83.33,2,v England,Sydney,16/01/15
SR Watson (AUSTRALIA),16,27,20,2,0,80,2,v England,Sydney,16/01/15
SPD Smith (AUSTRALIA),37,62,47,2,1,78.72,2,v England,Sydney,16/01/15
GJ Bailey (AUSTRALIA),10,36,25,1,0,40,2,v England,Sydney,16/01/15
GJ Maxwell (AUSTRALIA),0,1,2,0,0,0,2,v England,Sydney,16/01/15
BJ Haddin (AUSTRALIA),16,15,8,3,0,200,2,v England,Sydney,16/01/15
RG Sharma (INDIA),138,228,139,9,4,99.28,1,v Australia,Melbourne,18/01/15
S Dhawan (INDIA),2,3,4,0,0,50,1,v Australia,Melbourne,18/01/15
AM Rahane (INDIA),12,29,22,2,0,54.54,1,v Australia,Melbourne,18/01/15
V Kohli (INDIA),9,24,16,0,0,56.25,1,v Australia,Melbourne,18/01/15
SK Raina (INDIA),51,105,63,6,0,80.95,1,v Australia,Melbourne,18/01/15
MS Dhoni (INDIA),19,42,31,2,0,61.29,1,v Australia,Melbourne,18/01/15
AR Patel (INDIA),0,2,2,0,0,0,1,v Australia,Melbourne,18/01/15
AJ Finch (AUSTRALIA),96,161,127,5,2,75.59,2,v India,Melbourne,18/01/15
DA Warner (AUSTRALIA),24,41,22,3,0,109.09,2,v India,Melbourne,18/01/15
SR Watson (AUSTRALIA),41,47,39,5,1,105.12,2,v India,Melbourne,18/01/15
SPD Smith (AUSTRALIA),47,66,52,6,0,90.38,2,v India,Melbourne,18/01/15
GJ Maxwell (AUSTRALIA),20,34,23,1,1,86.95,2,v India,Melbourne,18/01/15
GJ Bailey (AUSTRALIA),5,12,11,0,0,45.45,2,v India,Melbourne,18/01/15
BJ Haddin (AUSTRALIA),13*,30,11,1,0,118.18,2,v India,Melbourne,18/01/15
AM Rahane (INDIA),33,60,40,1,1,82.5,1,v England,Brisbane,20/01/15
S Dhawan (INDIA),1,9,5,0,0,20,1,v England,Brisbane,20/01/15
AT Rayudu (INDIA),23,76,53,2,0,43.39,1,v England,Brisbane,20/01/15
V Kohli (INDIA),4,13,8,0,0,50,1,v England,Brisbane,20/01/15
SK Raina (INDIA),1,4,3,0,0,33.33,1,v England,Brisbane,20/01/15
MS Dhoni (INDIA),34,70,61,1,0,55.73,1,v England,Brisbane,20/01/15
STR Binny (INDIA),44,84,55,3,2,80,1,v England,Brisbane,20/01/15
AJ Finch (AUSTRALIA),32,49,32,3,0,100,2,v England,Hobart,23/01/15
SE Marsh (AUSTRALIA),45,67,48,6,0,93.75,2,v England,Hobart,23/01/15
SPD Smith (AUSTRALIA),102*,168,95,6,1,107.36,2,v England,Hobart,23/01/15
CL White (AUSTRALIA),0,2,2,0,0,0,2,v England,Hobart,23/01/15
GJ Maxwell (AUSTRALIA),37,39,38,4,0,97.36,2,v England,Hobart,23/01/15
JP Faulkner (AUSTRALIA),35,44,43,4,0,81.39,2,v England,Hobart,23/01/15
BJ Haddin (AUSTRALIA),42,50,29,4,1,144.82,2,v England,Hobart,23/01/15
DA Warner (AUSTRALIA),TDNB,-0,-0,-0,-0,-0,-0,v India,Sydney,26/01/15
MR Marsh (AUSTRALIA),TDNB,-0,-0,-0,-0,-0,-0,v India,Sydney,26/01/15
GJ Bailey (AUSTRALIA),TDNB,-0,-0,-0,-0,-0,-0,v India,Sydney,26/01/15
SPD Smith (AUSTRALIA),TDNB,-0,-0,-0,-0,-0,-0,v India,Sydney,26/01/15
GJ Maxwell (AUSTRALIA),TDNB,-0,-0,-0,-0,-0,-0,v India,Sydney,26/01/15
AJ Finch (AUSTRALIA),TDNB,-0,-0,-0,-0,-0,-0,v India,Sydney,26/01/15
JP Faulkner (AUSTRALIA),TDNB,-0,-0,-0,-0,-0,-0,v India,Sydney,26/01/15
AM Rahane (INDIA),28*,61,50,2,0,56,1,v Australia,Sydney,26/01/15
S Dhawan (INDIA),8,24,13,0,0,61.53,1,v Australia,Sydney,26/01/15
AT Rayudu (INDIA),23,26,24,2,1,95.83,1,v Australia,Sydney,26/01/15
V Kohli (INDIA),3*,8,9,0,0,33.33,1,v Australia,Sydney,26/01/15
MS Dhoni (INDIA),DNB,-0,-0,-0,-0,-0,1,v Australia,Sydney,26/01/15
SK Raina (INDIA),DNB,-0,-0,-0,-0,-0,1,v Australia,Sydney,26/01/15
STR Binny (INDIA),DNB,-0,-0,-0,-0,-0,1,v Australia,Sydney,26/01/15
AM Rahane (INDIA),73,152,101,3,1,72.27,1,v England,Perth,30/01/15
S Dhawan (INDIA),38,85,65,4,0,58.46,1,v England,Perth,30/01/15
V Kohli (INDIA),8,26,19,0,0,42.1,1,v England,Perth,30/01/15
SK Raina (INDIA),1,8,5,0,0,20,1,v England,Perth,30/01/15
AT Rayudu (INDIA),12,21,17,1,0,70.58,1,v England,Perth,30/01/15
MS Dhoni (INDIA),17,38,32,3,0,53.12,1,v England,Perth,30/01/15
STR Binny (INDIA),7,16,12,1,0,58.33,1,v England,Perth,30/01/15
AJ Finch (AUSTRALIA),0,2,3,0,0,0,1,v England,Perth,01/02/15
DA Warner (AUSTRALIA),12,25,18,2,0,66.66,1,v England,Perth,01/02/15
SPD Smith (AUSTRALIA),40,73,50,5,0,80,1,v England,Perth,01/02/15
GJ Bailey (AUSTRALIA),2,23,17,0,0,11.76,1,v England,Perth,01/02/15
GJ Maxwell (AUSTRALIA),95,116,98,15,0,96.93,1,v England,Perth,01/02/15
MR Marsh (AUSTRALIA),60,99,68,7,1,88.23,1,v England,Perth,01/02/15
BJ Haddin (AUSTRALIA),9,17,12,1,0,75,1,v England,Perth,01/02/15
DA Warner (AUSTRALIA),22,34,18,3,0,122.22,1,v England,Melbourne,14/02/15
AJ Finch (AUSTRALIA),135,158,128,12,3,105.46,1,v England,Melbourne,14/02/15
SR Watson (AUSTRALIA),0,1,1,0,0,0,1,v England,Melbourne,14/02/15
SPD Smith (AUSTRALIA),5,14,9,1,0,55.55,1,v England,Melbourne,14/02/15
GJ Bailey (AUSTRALIA),55,113,69,3,0,79.71,1,v England,Melbourne,14/02/15
GJ Maxwell (AUSTRALIA),66,63,40,11,0,165,1,v England,Melbourne,14/02/15
MR Marsh (AUSTRALIA),23,31,20,3,0,115,1,v England,Melbourne,14/02/15
RG Sharma (INDIA),15,35,20,2,0,75,1,v Pakistan,Adelaide,15/02/15
S Dhawan (INDIA),73,136,76,7,1,96.05,1,v Pakistan,Adelaide,15/02/15
V Kohli (INDIA),107,168,126,8,0,84.92,1,v Pakistan,Adelaide,15/02/15
SK Raina (INDIA),74,78,56,5,3,132.14,1,v Pakistan,Adelaide,15/02/15
MS Dhoni (INDIA),18,22,13,1,1,138.46,1,v Pakistan,Adelaide,15/02/15
RA Jadeja (INDIA),3,7,5,0,0,60,1,v Pakistan,Adelaide,15/02/15
AM Rahane (INDIA),0,3,1,0,0,0,1,v Pakistan,Adelaide,15/02/15
RG Sharma (INDIA),0,13,6,0,0,0,1,v South Africa,Melbourne,22/02/15
S Dhawan (INDIA),137,199,146,16,2,93.83,1,v South Africa,Melbourne,22/02/15
V Kohli (INDIA),46,106,60,3,0,76.66,1,v South Africa,Melbourne,22/02/15
AM Rahane (INDIA),79,90,60,7,3,131.66,1,v South Africa,Melbourne,22/02/15
SK Raina (INDIA),6,6,5,1,0,120,1,v South Africa,Melbourne,22/02/15
MS Dhoni (INDIA),18,22,11,3,0,163.63,1,v South Africa,Melbourne,22/02/15
RA Jadeja (INDIA),2,4,4,0,0,50,1,v South Africa,Melbourne,22/02/15
AJ Finch (AUSTRALIA),14,10,7,1,1,200,1,v New Zealand,Auckland,28/02/15
DA Warner (AUSTRALIA),34,58,42,2,1,80.95,1,v New Zealand,Auckland,28/02/15
SR Watson (AUSTRALIA),23,44,30,2,0,76.66,1,v New Zealand,Auckland,28/02/15
MJ Clarke (AUSTRALIA),12,37,18,1,0,66.66,1,v New Zealand,Auckland,28/02/15
SPD Smith (AUSTRALIA),4,17,11,0,0,36.36,1,v New Zealand,Auckland,28/02/15
GJ Maxwell (AUSTRALIA),1,4,3,0,0,33.33,1,v New Zealand,Auckland,28/02/15
MR Marsh (AUSTRALIA),0,3,2,0,0,0,1,v New Zealand,Auckland,28/02/15
RG Sharma (INDIA),57*,77,55,10,1,103.63,2,v U.A.E.,Perth,28/02/15
S Dhawan (INDIA),14,27,17,3,0,82.35,2,v U.A.E.,Perth,28/02/15
V Kohli (INDIA),33*,49,41,5,0,80.48,2,v U.A.E.,Perth,28/02/15
MS Dhoni (INDIA),DNB,-0,-0,-0,-0,-0,2,v U.A.E.,Perth,28/02/15
AM Rahane (INDIA),DNB,-0,-0,-0,-0,-0,2,v U.A.E.,Perth,28/02/15
SK Raina (INDIA),DNB,-0,-0,-0,-0,-0,2,v U.A.E.,Perth,28/02/15
RA Jadeja (INDIA),DNB,-0,-0,-0,-0,-0,2,v U.A.E.,Perth,28/02/15
DA Warner (AUSTRALIA),178,164,133,19,5,133.83,1,v Afghanistan,Perth,04/03/15
AJ Finch (AUSTRALIA),4,14,9,0,0,44.44,1,v Afghanistan,Perth,04/03/15
